"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-1.175958329E-3	-1.124162292E-1	2.121089172E-1	9.710007935E0	9.712974915E0
8.818041671E-3	-1.145118713E-1	1.733395386E-1	1.003303619E1	1.003518684E1
1.881104167E-2	-1.378633118E-1	2.067201233E-1	9.835746460E0	9.838884486E0
2.880504167E-2	-1.607656860E-1	1.851649475E-1	9.721384277E0	9.724476538E0
3.879804167E-2	-1.811233521E-1	1.691482544E-1	9.941576385E0	9.944664792E0
4.879204167E-2	-1.648072815E-1	1.884580994E-1	9.834698639E0	9.837884692E0
5.878604167E-2	-1.695973206E-1	1.448986816E-1	9.792785797E0	9.795326056E0
6.877904167E-2	-1.359173584E-1	1.308279419E-1	9.885143738E0	9.886943724E0
7.877304167E-2	-1.094224548E-1	1.678010559E-1	9.839937744E0	9.841976696E0
8.876604167E-2	-1.187031555E-1	1.790277100E-1	9.900262299E0	9.902592334E0
9.876004167E-2	-1.279838562E-1	1.930984497E-1	9.770781555E0	9.773527463E0
1.087540417E-1	-1.399589539E-1	2.297721863E-1	9.856104126E0	9.859775469E0
1.187470417E-1	-1.453477478E-1	2.433938599E-1	9.969268799E0	9.973298698E0
1.287410417E-1	-1.630110168E-1	2.206411743E-1	9.735754395E0	9.739618512E0
1.387340417E-1	-1.478924561E-1	1.839674377E-1	9.741592255E0	9.744451542E0
1.487280417E-1	-1.598675537E-1	1.510359192E-1	1.003094055E1	1.003335128E1
1.587220417E-1	-1.160087585E-1	1.487905884E-1	9.843829651E0	9.845637555E0
1.687150417E-1	-1.371148682E-1	1.827699280E-1	9.660161591E0	9.662863307E0
1.787090417E-1	-1.302291870E-1	2.008822632E-1	9.948761444E0	9.951641452E0
1.887020417E-1	-1.457968140E-1	2.362088013E-1	9.914482727E0	9.918367762E0
1.986960417E-1	-1.401086426E-1	2.541714478E-1	9.750274200E0	9.754592792E0
2.086900417E-1	-1.532812500E-1	2.203417969E-1	9.830207977E0	9.833871797E0
2.186830417E-1	-1.627116394E-1	1.805245972E-1	9.924362183E0	9.927337455E0
2.286770417E-1	-1.466949463E-1	1.342707825E-1	9.776170349E0	9.778192816E0
2.386700417E-1	-1.410067749E-1	1.333726501E-1	9.848470001E0	9.850382355E0
2.486640417E-1	-1.324745178E-1	1.489402771E-1	9.884245605E0	9.886255302E0
2.586580417E-1	-1.481918335E-1	1.496887207E-1	9.878258057E0	9.880503518E0
2.686510417E-1	-1.654060364E-1	1.942959595E-1	9.791588287E0	9.794912520E0
2.786450417E-1	-1.441502380E-1	2.074685669E-1	9.848320312E0	9.851560053E0
2.886380417E-1	-1.422042847E-1	2.357597351E-1	9.895023193E0	9.898852899E0
2.986320417E-1	-1.645079041E-1	2.451901245E-1	9.751621399E0	9.756090454E0
3.086260417E-1	-1.535806274E-1	1.914518738E-1	9.870474243E0	9.873525339E0
3.186190417E-1	-1.535806274E-1	1.592687988E-1	9.929301910E0	9.931766710E0
3.286130417E-1	-1.425036621E-1	1.480421448E-1	9.819131012E0	9.821280853E0
3.386060417E-1	-1.589694214E-1	1.574725342E-1	9.739496613E0	9.742066677E0
3.486000417E-1	-1.481918335E-1	1.640588379E-1	9.979896698E0	9.982345126E0
3.585940417E-1	-1.312770081E-1	1.737886047E-1	9.892777863E0	9.895175085E0
3.685870417E-1	-1.336720276E-1	1.977388000E-1	9.745633850E0	9.748556200E0
3.785810417E-1	-1.257385254E-1	2.194436646E-1	9.869576111E0	9.872816128E0
3.885740417E-1	-1.321751404E-1	2.064207458E-1	9.912836151E0	9.915866092E0
3.985680417E-1	-1.535806274E-1	1.815724182E-1	9.790839844E0	9.793727605E0
4.085620417E-1	-1.468446350E-1	1.907034302E-1	9.823471985E0	9.826420151E0
4.185550417E-1	-1.484912109E-1	1.919009399E-1	9.918524323E0	9.921491841E0
4.285490417E-1	-1.606159973E-1	1.823208618E-1	9.817783813E0	9.820790060E0
4.385420417E-1	-1.743873596E-1	1.959425354E-1	9.785301361E0	9.788816433E0
4.485360417E-1	-1.546284485E-1	1.646575928E-1	9.845775604E0	9.848366328E0
4.585300417E-1	-1.242416382E-1	1.630110168E-1	9.925410004E0	9.927525992E0
4.685230417E-1	-1.251397705E-1	1.998344421E-1	9.832153931E0	9.834980665E0
4.785170417E-1	-1.184037781E-1	1.895059204E-1	9.786947937E0	9.789498551E0
4.885100417E-1	-1.155596924E-1	1.853146362E-1	9.892179108E0	9.894589585E0
4.985040417E-1	-1.420545959E-1	1.884580994E-1	9.852361908E0	9.855188031E0
5.084980417E-1	-1.534309387E-1	2.157014465E-1	9.788744202E0	9.792322565E0
5.184910417E-1	-1.755848694E-1	2.049238586E-1	9.876162415E0	9.879848575E0
5.284850417E-1	-1.698966980E-1	2.007325745E-1	9.853858795E0	9.857367377E0
5.384780417E-1	-1.516346741E-1	1.826202393E-1	9.795629883E0	9.798505398E0
5.484720417E-1	-1.353186035E-1	1.704954529E-1	9.904453583E0	9.906845138E0
5.584660417E-1	-1.011895752E-1	1.907034302E-1	9.838590546E0	9.840958848E0
5.684590417E-1	-8.382568359E-2	1.715432739E-1	9.862989807E0	9.864837646E0
5.784530417E-1	-1.077758789E-1	2.043251038E-1	9.795779572E0	9.798503039E0
5.884466667E-1	-1.374142456E-1	2.198927307E-1	9.949360199E0	9.952738510E0
5.984406667E-1	-1.574725342E-1	2.281256104E-1	9.864935760E0	9.868829538E0
6.084346667E-1	-1.728904724E-1	2.357597351E-1	9.680818634E0	9.685232222E0
6.184276667E-1	-1.707948303E-1	1.552272034E-1	9.923014984E0	9.925698602E0
6.284216667E-1	-1.511856079E-1	1.025367737E-1	9.947264557E0	9.948941805E0
6.384146667E-1	-1.257385254E-1	1.149609375E-1	9.770482178E0	9.771967467E0
6.484086667E-1	-1.414558411E-1	1.448986816E-1	9.797575836E0	9.799668242E0
6.584026667E-1	-1.133143616E-1	1.428030396E-1	1.001282822E1	1.001448759E1
6.683956667E-1	-9.879455566E-2	1.821711731E-1	9.886790314E0	9.888961999E0
6.783896667E-1	-7.873626709E-2	2.571652222E-1	9.795180817E0	9.798872414E0
6.883836667E-1	-1.022373962E-1	2.784210205E-1	9.849966888E0	9.854431412E0
