"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-3.469583316E-4	-1.655557251E-1	6.825805664E-2	9.874216461E0	9.875840146E0
9.647041668E-3	-1.706451416E-1	9.385482788E-2	9.841584320E0	9.843511082E0
1.964004167E-2	-1.646575928E-1	1.065783691E-1	9.835746460E0	9.837701942E0
2.963404167E-2	-1.842668152E-1	1.025367737E-1	9.865983582E0	9.868236929E0
3.962704167E-2	-1.694476318E-1	1.152603149E-1	9.838740234E0	9.840874292E0
4.962104167E-2	-1.853146362E-1	1.056802368E-1	9.867779846E0	9.870085558E0
5.961404167E-2	-1.736389160E-1	1.121168518E-1	9.837842102E0	9.840013104E0
6.960804167E-2	-1.675016785E-1	9.924362183E-2	9.826166382E0	9.828095028E0
7.960104167E-2	-1.604663086E-1	7.334747314E-2	9.861193542E0	9.862771789E0
8.959504167E-2	-1.730401611E-1	7.978408813E-2	9.850715332E0	9.852558092E0
9.958804167E-2	-1.802252197E-1	1.079255676E-1	9.841734009E0	9.843975689E0
1.095820417E-1	-1.803749084E-1	1.103205872E-1	9.852810974E0	9.855079392E0
1.195750417E-1	-1.673519897E-1	8.681945801E-2	9.843679962E0	9.845485235E0
1.295690417E-1	-1.667532349E-1	9.550140381E-2	9.859397278E0	9.861269789E0
1.395620417E-1	-1.586700439E-1	1.224453735E-1	9.861792297E0	9.863828687E0
1.495560417E-1	-1.655557251E-1	1.245410156E-1	9.827513580E0	9.829696960E0
1.595490417E-1	-1.698966980E-1	9.729766846E-2	9.858648834E0	9.860592708E0
1.695430417E-1	-1.715432739E-1	7.619155884E-2	9.860594788E0	9.862381143E0
1.795360417E-1	-1.658551025E-1	7.768844604E-2	9.873018951E0	9.874717547E0
1.895290417E-1	-1.860630798E-1	9.669891357E-2	9.817334747E0	9.819573906E0
1.995230417E-1	-1.945953369E-1	1.019380188E-1	9.856104126E0	9.858551985E0
2.095160417E-1	-1.766326904E-1	8.053253174E-2	9.870025177E0	9.871934035E0
2.195100417E-1	-1.646575928E-1	7.828720093E-2	9.840386810E0	9.842075675E0
