"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-1.830374997E-3	-2.071691895E-1	7.170089722E-2	9.906998291E0	9.909423557E0
8.162625003E-3	-2.091151428E-1	8.861572266E-2	9.852810974E0	9.855428249E0
1.815662500E-2	-1.962419128E-1	8.816665649E-2	9.804012451E0	9.806372642E0
2.814962500E-2	-1.968406677E-1	7.544311523E-2	9.812844086E0	9.815108097E0
3.814262500E-2	-1.784289551E-1	1.034349060E-1	9.839937744E0	9.842098886E0
4.813662500E-2	-1.892065430E-1	8.427474976E-2	9.878856812E0	9.881027945E0
5.812962500E-2	-1.990859985E-1	9.145980835E-2	9.834399261E0	9.836839379E0
6.812312500E-2	-2.149530029E-1	9.684860229E-2	9.798623657E0	9.801459586E0
7.811712500E-2	-1.966909790E-1	7.005432129E-2	9.862989807E0	9.865199587E0
8.811012500E-2	-2.011816406E-1	4.176315308E-2	9.861343231E0	9.863483590E0
9.810312500E-2	-2.086660767E-1	5.957611084E-2	9.834249573E0	9.836643508E0
1.080971250E-1	-1.993853760E-1	8.936416626E-2	9.840985565E0	9.843410861E0
1.180901250E-1	-1.983375549E-1	1.031355286E-1	9.883197784E0	9.885725728E0
1.280831250E-1	-2.040257263E-1	1.041833496E-1	9.815388794E0	9.818061817E0
1.380771250E-1	-1.941462708E-1	1.158590698E-1	9.840087433E0	9.842684430E0
1.480701250E-1	-2.055226135E-1	1.052311707E-1	9.879605255E0	9.882303028E0
1.580631250E-1	-1.987866211E-1	6.406677246E-2	9.823471985E0	9.825691961E0
1.680571250E-1	-1.953437805E-1	5.313949585E-2	9.836345215E0	9.838428237E0
1.780501250E-1	-1.799258423E-1	5.897735596E-2	9.846673737E0	9.848494063E0
1.880441250E-1	-1.913021851E-1	7.229965210E-2	9.862690430E0	9.864810504E0
1.980371250E-1	-1.886077881E-1	1.119671631E-1	9.807754669E0	9.810206990E0
2.080301250E-1	-2.134561157E-1	1.287322998E-1	9.822723541E0	9.825885878E0
2.180241250E-1	-2.161505127E-1	1.029858398E-1	9.899962921E0	9.902857818E0
2.280171250E-1	-2.106120300E-1	7.903564453E-2	9.827812958E0	9.830387154E0
2.380101250E-1	-2.077679443E-1	7.035369873E-2	9.797276459E0	9.799731791E0
2.480041250E-1	-1.862127686E-1	4.460723877E-2	9.887538757E0	9.889392685E0
2.579971250E-1	-1.781295776E-1	5.284011841E-2	9.867929535E0	9.869678593E0
2.679901250E-1	-1.722917175E-1	8.741821289E-2	9.822424164E0	9.824324040E0
2.779841250E-1	-1.832189941E-1	1.187031555E-1	9.846524048E0	9.848943876E0
2.879771250E-1	-2.303709412E-1	1.110690308E-1	9.842482452E0	9.845804585E0
2.979701250E-1	-2.320175171E-1	9.654922485E-2	9.857002258E0	9.860205241E0
3.079641250E-1	-2.106120300E-1	8.128097534E-2	9.838889923E0	9.841479510E0
3.179571250E-1	-1.996847534E-1	8.996292114E-2	9.838291168E0	9.840728654E0
3.279501250E-1	-1.992356873E-1	1.131646729E-1	9.861193542E0	9.863855189E0
3.379441250E-1	-1.893562317E-1	9.460327148E-2	9.787846069E0	9.790134638E0
3.479371250E-1	-2.008822632E-1	6.526428223E-2	9.905052338E0	9.907304120E0
3.579301250E-1	-1.935475159E-1	3.577560425E-2	9.898466034E0	9.900422736E0
3.679241250E-1	-1.727407837E-1	2.514770508E-2	9.768985291E0	9.770544785E0
3.779171250E-1	-1.847158813E-1	1.960922241E-2	9.916278992E0	9.918018629E0
3.879101250E-1	-1.589694214E-1	2.305206299E-2	9.880353699E0	9.881659369E0
3.979041250E-1	-1.610650635E-1	7.214996338E-2	9.820927277E0	9.822512924E0
4.078971250E-1	-1.826202393E-1	1.450483704E-1	9.866582336E0	9.869338184E0
4.178901250E-1	-2.013313293E-1	2.004331970E-1	9.827962646E0	9.832067817E0
4.278841250E-1	-2.290237427E-1	1.790277100E-1	9.799671478E0	9.803982042E0
4.378771250E-1	-2.323168945E-1	1.062789917E-1	9.877210236E0	9.880513570E0
4.478711250E-1	-2.272274780E-1	4.745132446E-2	9.801617432E0	9.804365774E0
4.578641250E-1	-2.088157654E-1	2.110610962E-2	9.835297394E0	9.837536496E0
4.678571250E-1	-2.001338196E-1	-1.586700439E-2	9.835147705E0	9.837196536E0
4.778511250E-1	-1.835183716E-1	6.077362061E-2	9.857750702E0	9.859646106E0
4.878441250E-1	-2.113604736E-1	1.222956848E-1	9.859696655E0	9.862720092E0
4.978371250E-1	-2.014810181E-1	1.398092651E-1	9.800719299E0	9.803787024E0
5.078311250E-1	-1.877096558E-1	1.502874756E-1	9.845625916E0	9.848561870E0
5.178241250E-1	-1.826202393E-1	6.451583862E-2	9.897118835E0	9.899013774E0
5.278171250E-1	-1.589694214E-1	2.529739380E-2	9.877210236E0	9.878521816E0
5.378111250E-1	-1.577719116E-1	2.993774414E-2	9.792935486E0	9.794252073E0
5.478041250E-1	-1.799258423E-1	7.828720093E-2	9.866582336E0	9.868533285E0
5.577971250E-1	-2.324665833E-1	1.185534668E-1	9.879904633E0	9.883350200E0
5.677911250E-1	-2.597099304E-1	1.670526123E-1	9.805958405E0	9.810819337E0
5.777841250E-1	-2.754272461E-1	1.675016785E-1	9.837991791E0	9.843271786E0
5.877771250E-1	-2.378553772E-1	1.541793823E-1	9.813293152E0	9.817386055E0
5.977711250E-1	-1.901046753E-1	7.349716187E-2	9.846524048E0	9.848633278E0
6.077641250E-1	-1.556762695E-1	6.137237549E-3	9.920470276E0	9.921693568E0
6.177571250E-1	-1.231938171E-1	2.095642090E-2	9.810598755E0	9.811394591E0
6.277511250E-1	-1.519340515E-1	5.418731689E-2	9.831704865E0	9.833028057E0
6.377441250E-1	-1.899549866E-1	9.445358276E-2	9.878557434E0	9.880835054E0
6.477371250E-1	-2.321672058E-1	1.219963074E-1	9.856852570E0	9.860341135E0
6.577311250E-1	-2.601589966E-1	1.317260742E-1	9.849817200E0	9.854132805E0
6.677241250E-1	-2.480342102E-1	1.019380188E-1	9.788594513E0	9.792267095E0
6.777181250E-1	-2.128573608E-1	4.625381470E-2	9.854307861E0	9.856715026E0
6.877111250E-1	-1.625619507E-1	1.646575928E-3	9.890682220E0	9.892018191E0
6.977041250E-1	-1.399589539E-1	3.742218018E-3	9.804760895E0	9.805760486E0
7.076981250E-1	-1.770817566E-1	7.604187012E-2	9.823022919E0	9.824913210E0
7.176911250E-1	-2.082170105E-1	1.595681763E-1	9.926757202E0	9.930222801E0
7.276841250E-1	-2.462379456E-1	1.622625732E-1	9.836045837E0	9.840465435E0
7.376781250E-1	-4.179309082E-1	2.909948730E-1	9.702373810E0	9.715729607E0
7.476711250E-1	-3.562591553E-1	8.083190918E-2	9.948761444E0	9.955466270E0
7.576641250E-1	7.409591675E-2	-1.576222229E-1	9.719138947E0	9.720699400E0
7.676581250E-1	-6.102809143E-1	2.445913696E-1	9.902357941E0	9.924160444E0
7.776511250E-1	-8.382568359E-3	-7.274871826E-2	9.791588287E0	9.791862123E0
7.876441250E-1	-1.902543640E-1	-2.439926147E-1	9.912836151E0	9.917663519E0
7.976381250E-1	-7.768844604E-2	4.300556946E-1	9.919572144E0	9.929194071E0
8.076311250E-1	1.428030396E-1	9.026229858E-2	1.006117767E1	1.006259590E1
8.176241250E-1	5.763015747E-2	-3.098556519E-2	9.597591705E0	9.597814745E0
8.276181250E-1	4.790039062E-3	3.020718384E-1	1.009710297E1	1.010162159E1
8.376111250E-1	-1.570234680E-1	1.255888367E-1	1.006791367E1	1.006992128E1
8.476041250E-1	-3.854484558E-1	-1.917512512E-1	9.338181152E0	9.348099608E0
8.575981250E-1	-7.640112305E-1	2.796185303E-1	1.005354355E1	1.008640856E1
8.675911250E-1	-8.551716614E-1	1.890568542E-1	9.526489563E0	9.566664228E0
8.775841250E-1	-4.086502075E-1	-2.781216431E-1	9.943971405E0	9.956249994E0
8.875781250E-1	-8.532257080E-2	1.713935852E-1	9.640252991E0	9.642153983E0
8.975711250E-1	1.871109009E-2	1.564247131E-1	1.003722748E1	1.003846374E1
9.075641250E-1	3.685336304E-1	-2.260299683E-2	9.936187592E0	9.943045398E0
9.175581250E-1	3.314108276E-1	1.287322998E-1	9.879006500E0	9.885402095E0
9.275511250E-1	3.772155762E-2	1.540296936E-1	1.018482056E1	1.018605507E1
9.375451250E-1	-2.519261169E-1	8.382568359E-2	9.579629059E0	9.583307697E0
9.475381250E-1	-5.138813782E-1	1.673519897E-1	9.685908051E0	9.700973947E0
9.575311250E-1	-6.812333679E-1	8.951385498E-2	1.003109024E1	1.005459413E1
9.675241250E-1	-3.899391174E-1	1.631607056E-2	9.742340698E0	9.750154922E0
9.775181250E-1	-3.330574036E-1	1.026864624E-1	9.574389954E0	9.580731430E0
9.875111250E-1	-2.257305908E-1	4.790039062E-3	1.015997223E1	1.016248065E1
9.975051250E-1	-2.215393066E-2	-8.921447754E-2	9.690698090E0	9.691134066E0
1.007498125E0	8.966354370E-2	7.259902954E-2	9.947563934E0	9.948232928E0
1.017491125E0	-5.059478760E-2	1.261875916E-1	1.005309448E1	1.005401372E1
1.027485125E0	-5.658233643E-2	3.333567810E-1	9.681567078E0	9.687469710E0
1.037478125E0	-2.773731995E-1	2.516267395E-1	9.838141479E0	9.845266867E0
1.047471125E0	-3.781137085E-1	8.292755127E-2	1.006806335E1	1.007550230E1
1.057465125E0	-2.221380615E-1	-2.906954956E-1	9.542805634E0	9.549816153E0
1.067458292E0	-2.119592285E-1	-2.324665833E-1	9.944420471E0	9.949395255E0
1.077451292E0	-1.945953369E-1	9.505233765E-2	9.952803040E0	9.955158996E0
1.087445292E0	-2.191442871E-1	3.948788452E-1	9.711055756E0	9.721551183E0
1.097438292E0	-1.607656860E-1	3.353027344E-1	9.931846619E0	9.938805300E0
1.107431292E0	2.634521484E-2	3.336561584E-1	1.004546036E1	1.005103449E1
1.117425292E0	-1.112187195E-1	-1.086740112E-1	9.870773621E0	9.871998355E0
1.127418292E0	-1.956431580E-1	-3.671864319E-1	9.635462952E0	9.644441322E0
1.137411292E0	-4.977149963E-1	4.819976807E-2	9.562115479E0	9.575181244E0
1.147405292E0	-1.987866211E-1	1.743873596E-1	1.020892044E1	1.021234467E1
1.157398292E0	-1.871109009E-1	4.206253052E-2	9.934840393E0	9.936691269E0
1.167391292E0	-2.592608643E-1	1.598675537E-1	9.288484497E0	9.293477179E0
1.177385292E0	-3.394940186E-1	1.196012878E-1	1.000264938E1	1.000912361E1
1.187378292E0	-1.381626892E-1	1.642085266E-1	9.899214478E0	9.901540317E0
1.197371292E0	1.218466187E-1	1.830693054E-1	1.027178970E1	1.027414350E1
1.207365292E0	-1.496887207E-3	1.050814819E-1	9.190588074E0	9.191188906E0
1.217358292E0	-2.423460388E-1	9.460327148E-2	1.013677048E1	1.014010834E1
1.227351292E0	-3.417393494E-1	9.430389404E-3	9.774673462E0	9.780650081E0
1.237345292E0	-4.165837097E-1	-4.340972900E-3	1.015518219E1	1.016372403E1
1.247338292E0	-3.851490784E-1	2.185455322E-2	9.383686523E0	9.391612758E0
1.257331292E0	-5.206173706E-1	2.365081787E-1	9.689201202E0	9.706059886E0
1.267325292E0	-1.317260742E-1	2.163002014E-1	1.026774811E1	1.027087089E1
1.277318292E0	-1.459465027E-1	1.442999268E-1	9.678722992E0	9.680898802E0
1.287312292E0	2.071691895E-1	4.056564331E-2	1.022134460E1	1.022352435E1
1.297305292E0	4.640350342E-2	-4.685256958E-2	9.335486755E0	9.335719651E0
1.307298292E0	7.020401001E-2	3.682342529E-2	1.036339920E1	1.036370241E1
1.317292292E0	-2.016307068E-1	-8.517288208E-2	9.964179382E0	9.966583172E0
1.327285292E0	-3.263214111E-1	2.103126526E-1	9.583970032E0	9.591829786E0
1.337278292E0	-6.927593994E-1	3.858975220E-1	9.583970032E0	9.616720546E0
1.347272292E0	-3.638932800E-1	4.153862000E-1	9.794881439E0	9.810436607E0
1.357265292E0	-3.258723450E-1	-8.681945801E-3	1.059601547E1	1.060102882E1
1.367258292E0	1.296304321E-1	-5.069956970E-1	8.860075378E0	8.875516007E0
1.377252292E0	-4.221221924E-2	-3.779640198E-1	1.016536102E1	1.017247283E1
1.387245292E0	1.317260742E-2	-1.112187195E-1	9.660011902E0	9.660661109E0
1.397238292E0	-2.915936279E-1	4.954696655E-1	1.079120956E1	1.080651289E1
1.407232292E0	-1.817221069E-1	4.884342957E-1	8.526868286E0	8.542779042E0
1.417225292E0	-4.779560852E-1	6.083349609E-1	1.050665131E1	1.053509540E1
1.427218292E0	-1.809736633E-1	3.249742126E-1	9.599238281E0	9.606442384E0
1.437212292E0	-3.709286499E-1	-7.694000244E-2	1.030382309E1	1.031078455E1
1.447205292E0	1.086740112E-1	-4.215234375E-1	9.330247650E0	9.340396847E0
1.457198292E0	-1.320254517E-1	-3.996688843E-1	9.818981323E0	9.827998787E0
1.467192292E0	1.070274353E-1	-1.469943237E-1	1.044797333E1	1.044955544E1
1.477185292E0	-3.998185730E-1	1.133143616E-1	9.630223846E0	9.639185981E0
1.487178292E0	-4.192781067E-1	7.481442261E-1	9.549990692E0	9.588421984E0
1.497172292E0	-4.028123474E-1	5.876779175E-1	9.693542175E0	9.719690480E0
1.507165292E0	-1.492396545E-1	2.659968567E-1	1.075558365E1	1.075990736E1
1.517158292E0	5.029541016E-2	-3.773652649E-1	9.126820679E0	9.134757242E0
1.527152292E0	-3.269201660E-1	-3.376977539E-1	9.786199493E0	9.797480140E0
1.537145292E0	-1.830693054E-1	-3.475772095E-1	9.856553192E0	9.864378598E0
1.547139292E0	-8.906478882E-2	3.625460815E-1	1.007899063E1	1.008590226E1
1.557132292E0	-3.522175598E-1	5.363346863E-1	1.010593460E1	1.012628393E1
1.567125292E0	-4.562512207E-1	1.044827271E-1	8.865464172E0	8.877811488E0
1.577119292E0	-3.032693481E-1	2.716850281E-1	9.974807281E0	9.983114011E0
1.587112292E0	5.149291992E-2	5.089416504E-2	1.042956161E1	1.042981290E1
1.597105292E0	4.290078735E-1	2.095642090E-3	1.027059219E1	1.027954844E1
1.607099292E0	-1.260379028E-1	-3.435356140E-1	8.540789337E0	8.548624730E0
1.617092292E0	-5.827381897E-1	7.379653931E-2	1.048823959E1	1.050467513E1
1.627085292E0	-3.908372498E-1	1.796264648E-3	9.756561127E0	9.764386412E0
