"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.700416710E-4	2.604583740E-2	1.282832336E-1	9.909243622E0	9.910108180E0
1.036304167E-2	2.125579834E-2	1.010398865E-1	9.719288635E0	9.719837058E0
2.035704167E-2	-1.047821045E-2	6.331832886E-2	9.969717865E0	9.969924439E0
3.035104167E-2	-6.436614990E-3	9.789642334E-2	9.802964630E0	9.803455548E0
4.034504167E-2	-8.083190918E-3	6.915618896E-2	9.815388794E0	9.815635746E0
5.033804167E-2	-4.640350342E-3	7.170089722E-2	9.894723816E0	9.894984686E0
6.033204167E-2	3.622467041E-2	8.292755127E-2	9.882898407E0	9.883312710E0
7.032604167E-2	5.388793945E-2	9.131011963E-2	9.844129028E0	9.844699984E0
8.031904167E-2	6.212081909E-2	1.368154907E-1	9.892628174E0	9.893769234E0
9.031304167E-2	5.643264771E-2	1.466949463E-1	9.801467743E0	9.802727884E0
1.003070417E-1	3.891906738E-2	1.130149841E-1	9.911039886E0	9.911760626E0
1.103000417E-1	9.580078125E-3	7.993377686E-2	9.835596771E0	9.835926242E0
1.202940417E-1	-3.008743286E-2	8.397537231E-2	9.793384552E0	9.793790793E0
1.302880417E-1	-2.469863892E-2	4.086502075E-2	9.872270508E0	9.872385981E0
1.402810417E-1	-1.481918335E-2	3.008743286E-2	9.849068756E0	9.849125861E0
1.502750417E-1	1.721420288E-2	5.343887329E-2	9.830956421E0	9.831116732E0
1.602690417E-1	5.298980713E-2	9.864486694E-2	9.903106384E0	9.903739435E0
1.702630417E-1	6.421646118E-2	1.353186035E-1	9.887389069E0	9.888523523E0
1.802560417E-1	5.658233643E-2	1.555265808E-1	9.758806458E0	9.760209708E0
1.902500417E-1	5.388793945E-2	1.076261902E-1	9.953701172E0	9.954428880E0
2.002440417E-1	4.251159668E-2	8.861572266E-2	9.880353699E0	9.880842535E0
2.102370417E-1	-1.032852173E-2	8.217910767E-2	9.726174316E0	9.726526971E0
2.202310417E-1	-4.610412598E-2	5.119354248E-2	9.908195801E0	9.908435315E0
2.302250417E-1	-1.526824951E-2	4.535568237E-2	9.874515839E0	9.874631806E0
2.402180417E-1	5.089416504E-3	6.915618896E-2	9.793085175E0	9.793330675E0
2.502120417E-1	2.245330811E-2	1.020877075E-1	9.890682220E0	9.891234546E0
2.602060417E-1	5.972579956E-2	1.329235840E-1	9.875413971E0	9.876489100E0
2.701990417E-1	6.721023560E-2	1.327738953E-1	9.825118561E0	9.826245512E0
2.801930417E-1	6.855743408E-2	9.370513916E-2	9.912536774E0	9.913216736E0
2.901870417E-1	4.595443726E-2	1.043330383E-1	9.866881714E0	9.867540319E0
3.001810417E-1	8.981323242E-3	8.801696777E-2	9.770781555E0	9.771182111E0
3.101741667E-1	-1.302291870E-2	5.298980713E-2	9.933193817E0	9.933343693E0
3.201681667E-1	-8.831634521E-3	5.583389282E-2	9.828411713E0	9.828574272E0
3.301621667E-1	-1.377136230E-2	9.714797974E-2	9.824070740E0	9.824560717E0
3.401551667E-1	-2.544708252E-3	1.038839722E-1	9.805359650E0	9.805910270E0
3.501491667E-1	3.487747192E-2	1.371148682E-1	9.848170624E0	9.849186848E0
3.601431667E-1	6.750961304E-2	1.176553345E-1	9.911039886E0	9.911968117E0
3.701361667E-1	6.750961304E-2	9.250762939E-2	9.867480469E0	9.868145014E0
3.801301667E-1	4.790039063E-2	9.011260986E-2	9.768835602E0	9.769368646E0
3.901241667E-1	2.739303589E-2	6.780899048E-2	9.895023193E0	9.895293449E0
4.001171667E-1	8.083190918E-3	4.340972900E-2	9.874366150E0	9.874464877E0
4.101111667E-1	-5.388793945E-3	6.795867920E-2	9.785600739E0	9.785838198E0
4.201051667E-1	-2.260299683E-2	8.262817383E-2	9.898466034E0	9.898836706E0
4.300991667E-1	2.095642090E-3	1.088237000E-1	9.804162140E0	9.804766303E0
4.400921667E-1	2.978805542E-2	1.163081360E-1	9.830806732E0	9.831539855E0
4.500861667E-1	5.014572144E-2	8.577163696E-2	9.893526306E0	9.894025174E0
4.600801667E-1	7.259902954E-2	7.978408813E-2	9.840237122E0	9.840828356E0
4.700731667E-1	4.191284180E-2	9.834548950E-2	9.844727783E0	9.845308205E0
4.800671667E-1	5.792953491E-2	8.517288208E-2	9.888885956E0	9.889422415E0
