"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.926583329E-3	-4.794529724E-1	4.622387695E-1	8.824898529E0	8.849992875E0
1.292058333E-2	-3.447331238E-1	3.923341370E-1	9.098080444E0	9.113058475E0
2.291358334E-2	-1.074765015E-1	2.465373230E-1	1.039513321E1	1.039861175E1
3.290758334E-2	-3.532653809E-2	2.435435486E-1	1.022852966E1	1.023148965E1
4.290158334E-2	-5.014572144E-2	2.519261169E-1	1.002390518E1	1.002719584E1
5.289458334E-2	-1.685494995E-1	2.567161560E-1	1.007509872E1	1.007977809E1
6.288858334E-2	-3.005749512E-1	3.626957703E-1	9.566007385E0	9.577598385E0
7.288158334E-2	-3.287164307E-1	3.773652649E-1	9.265881500E0	9.279386780E0
8.287558334E-2	-1.968406677E-1	3.083587646E-1	9.984836426E0	9.991535909E0
9.286858334E-2	-1.291813660E-1	2.803669739E-1	1.007270370E1	1.007743288E1
1.028625833E-1	-1.207987976E-1	2.800675964E-1	9.958341522E0	9.963011396E0
1.128550833E-1	-1.788780212E-1	2.636018372E-1	1.000399658E1	1.000906743E1
1.228490833E-1	-2.293231201E-1	3.409909058E-1	9.697883148E0	9.706585468E0
1.328430833E-1	-2.531236267E-1	3.481759644E-1	9.540709991E0	9.550415971E0
1.428360833E-1	-2.080673218E-1	2.951861572E-1	9.937834167E0	9.944394140E0
1.528300833E-1	-1.565744019E-1	2.776725769E-1	9.889484711E0	9.894621036E0
1.628230833E-1	-1.422042847E-1	3.089575195E-1	9.969119110E0	9.974919180E0
1.728170833E-1	-1.853146362E-1	2.911445618E-1	9.921518097E0	9.927518724E0
1.828100833E-1	-2.239343262E-1	3.115022278E-1	9.755513306E0	9.763053829E0
1.928040833E-1	-2.406994629E-1	3.257226562E-1	9.722282410E0	9.730714605E0
2.027970833E-1	-1.893562317E-1	3.164419556E-1	9.812844086E0	9.819770891E0
2.127910833E-1	-1.689985657E-1	2.960842896E-1	9.932445374E0	9.938294498E0
2.227850833E-1	-1.682501221E-1	2.839595032E-1	9.958191833E0	9.963660256E0
2.327780833E-1	-1.639091492E-1	2.766247559E-1	9.818083191E0	9.823346935E0
2.427720833E-1	-2.067201233E-1	3.106040955E-1	9.792486420E0	9.799591746E0
2.527650833E-1	-2.137554932E-1	3.426374817E-1	9.779463501E0	9.787798436E0
2.627590833E-1	-1.959425354E-1	3.309617615E-1	9.861193542E0	9.868691263E0
2.727520833E-1	-1.772314453E-1	3.055146790E-1	9.807754669E0	9.814112382E0
2.827460833E-1	-2.061213684E-1	2.960842896E-1	9.973160706E0	9.979683682E0
