"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.882083323E-4	-1.163081360E0	4.740641785E-1	7.379803619E0	7.485919887E0
1.098220833E-2	-2.001338196E-1	1.577719116E-1	9.799372101E0	9.802685300E0
2.097620833E-2	6.391708374E-2	1.841171265E-2	1.089883575E1	1.089903873E1
3.097020833E-2	-5.138813782E-1	2.679428101E-1	9.087452545E0	9.105913528E0
4.096420833E-2	-1.642085266E-1	1.553768921E-1	9.886490936E0	9.889075258E0
5.095920833E-2	-2.252815247E-1	1.454974365E-1	1.006911118E1	1.007268192E1
6.095320833E-2	-2.398013306E-1	1.499880981E-1	9.858499146E0	9.862555780E0
7.094720833E-2	-2.401007080E-1	1.519340515E-1	9.638007660E0	9.642194976E0
8.094120833E-2	-2.463876343E-1	1.263372803E-1	9.917027435E0	9.920892154E0
9.093520833E-2	-2.354603577E-1	1.571731567E-1	9.965526581E0	9.969546881E0
1.009292083E-1	-2.387535095E-1	1.474433899E-1	9.738299103E0	9.742341208E0
1.109232083E-1	-2.529739380E-1	1.348695374E-1	9.959688721E0	9.963813779E0
1.209172083E-1	-2.523751831E-1	1.740879822E-1	9.821675720E0	9.826459882E0
1.309112083E-1	-2.228865051E-1	1.657054138E-1	9.758806458E0	9.762757815E0
1.409052083E-1	-2.228865051E-1	1.514849854E-1	9.955647125E0	9.959293940E0
1.508992083E-1	-2.294728088E-1	1.675016785E-1	9.831106110E0	9.835210314E0
1.608932083E-1	-2.314187622E-1	1.422042847E-1	9.818382568E0	9.822138920E0
1.708872083E-1	-2.408491516E-1	1.377136230E-1	9.896669769E0	9.900557857E0
1.808812083E-1	-2.438429260E-1	1.384620667E-1	9.814191284E0	9.818196458E0
1.908752083E-1	-2.468367004E-1	1.414558411E-1	9.820478210E0	9.824598231E0
2.008692083E-1	-2.460882568E-1	1.236428833E-1	9.905950470E0	9.909778086E0
2.108632083E-1	-2.311193848E-1	1.440005493E-1	9.771380310E0	9.775173937E0
2.208572083E-1	-2.505789185E-1	1.622625732E-1	9.879754944E0	9.884264094E0
2.308512083E-1	-2.303709412E-1	1.428030396E-1	9.899064789E0	9.902774721E0
2.408462083E-1	-2.251318359E-1	1.633103943E-1	9.788145447E0	9.792096094E0
2.508402083E-1	-2.438429260E-1	1.597178650E-1	9.927056580E0	9.931335333E0
2.608342083E-1	-2.375559998E-1	1.637594604E-1	9.850865021E0	9.855089633E0
2.708282083E-1	-2.372566223E-1	1.576222229E-1	9.784852295E0	9.788997390E0
2.808222083E-1	-2.441423035E-1	1.395098877E-1	9.871072998E0	9.875077246E0
2.908162083E-1	-2.439926147E-1	1.440005493E-1	9.863289185E0	9.867357402E0
3.008102083E-1	-2.463876343E-1	1.633103943E-1	9.833650818E0	9.838092577E0
3.108042083E-1	-2.571652222E-1	1.335223389E-1	9.873018951E0	9.877270138E0
3.207982083E-1	-2.359094238E-1	1.438508606E-1	9.831704865E0	9.835586758E0
3.307922083E-1	-2.420466614E-1	1.380130005E-1	9.825268250E0	9.829218196E0
3.407862083E-1	-2.267784119E-1	1.414558411E-1	9.880353699E0	9.883968202E0
3.507802083E-1	-2.402503967E-1	1.675016785E-1	9.807754669E0	9.812126615E0
3.607742083E-1	-2.204914856E-1	1.531315613E-1	9.857002258E0	9.860657143E0
3.707682083E-1	-2.612068176E-1	1.499880981E-1	9.848619690E0	9.853224611E0
3.807622083E-1	-2.478845215E-1	1.781295776E-1	9.846074982E0	9.850805522E0
3.907562083E-1	-2.559677124E-1	1.745370483E-1	9.895322571E0	9.900171283E0
4.007502083E-1	-2.583627319E-1	1.640588379E-1	9.826615448E0	9.831380257E0
4.107442083E-1	-2.507286072E-1	1.396595764E-1	9.811347198E0	9.815543973E0
4.207382083E-1	-2.336640930E-1	1.311273193E-1	9.880503387E0	9.884135798E0
