"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.376666671E-4	-7.694000244E-2	1.493893433E-1	1.009904892E1	1.010044682E1
1.023166667E-2	-2.589614868E-2	1.413061523E-1	9.881551208E0	9.882595425E0
2.022566667E-2	6.885681152E-3	1.353186035E-1	9.609267426E0	9.610222630E0
3.021966667E-2	-6.286926270E-3	1.279838562E-1	9.848170624E0	9.849004215E0
4.021366667E-2	1.362167358E-2	1.342707825E-1	1.003198837E1	1.003289614E1
5.020766667E-2	-8.681945801E-3	1.496887207E-1	9.791139221E0	9.792287237E0
6.020166667E-2	-4.490661621E-2	1.378633118E-1	9.882000275E0	9.883063914E0
7.019566667E-2	-7.095245361E-2	1.606159973E-1	9.816436615E0	9.818006904E0
8.018966667E-2	-5.269042969E-2	1.456471252E-1	9.786947937E0	9.788173440E0
9.018366667E-2	-5.987548828E-2	1.345701599E-1	9.973909149E0	9.974996637E0
1.001776667E-1	-4.580474854E-2	1.625619507E-1	9.866282959E0	9.867728406E0
1.101716667E-1	-1.107696533E-2	1.320254517E-1	9.754166107E0	9.755065857E0
1.201656667E-1	-1.122665405E-2	1.118174744E-1	9.906998291E0	9.907635658E0
1.301596667E-1	-5.089416504E-3	1.483415222E-1	9.966275024E0	9.967380246E0
1.401536667E-1	-2.110610962E-2	1.420545959E-1	9.818532257E0	9.819582509E0
1.501476667E-1	-1.871109009E-2	1.416055298E-1	9.871072998E0	9.872106379E0
1.601416667E-1	-3.861968994E-2	1.344204712E-1	9.929152222E0	9.930137168E0
1.701356667E-1	-4.011657715E-2	1.236428833E-1	9.896071014E0	9.896924695E0
1.801296667E-1	-3.472778320E-2	9.220825195E-2	9.905202026E0	9.905692079E0
1.901236667E-1	-4.520599365E-2	7.828720093E-2	9.762398987E0	9.762817546E0
2.001176667E-1	-5.119354248E-2	1.402583313E-1	9.570348358E0	9.571512988E0
2.101116667E-1	-4.056564331E-2	1.636097717E-1	9.934840393E0	9.936270294E0
2.201056667E-1	7.484436035E-4	2.112107849E-1	9.958790588E0	9.961030094E0
2.300996667E-1	-7.035369873E-3	2.312690735E-1	9.604776764E0	9.607563248E0
2.400936667E-1	7.933502197E-3	1.887574768E-1	1.000938538E1	1.001116816E1
2.500876667E-1	1.032852173E-2	1.354682922E-1	9.843230896E0	9.844168467E0
2.600816667E-1	1.676513672E-2	9.610015869E-2	9.741143188E0	9.741631636E0
2.700756667E-1	5.239105225E-3	7.604187012E-2	1.000728973E1	1.000758001E1
2.800696667E-1	-6.885681152E-3	9.415420532E-2	9.783804474E0	9.784259932E0
2.900636667E-1	-1.751358032E-2	1.014889526E-1	9.765542450E0	9.766085504E0
3.000576667E-1	-4.819976807E-2	1.239422607E-1	1.002585114E1	1.002673306E1
3.100516667E-1	-6.586303711E-2	1.808239746E-1	9.774673462E0	9.776567728E0
3.200456667E-1	-5.358856201E-2	1.158590698E-1	9.707612915E0	9.708452171E0
3.300396667E-1	-4.101470947E-2	7.125183105E-2	1.002794678E1	1.002828378E1
3.400336667E-1	-6.137237549E-3	7.364685059E-2	9.802814941E0	9.803093507E0
3.500276667E-1	2.484832764E-2	7.095245361E-2	9.778415680E0	9.778704664E0
3.600216667E-1	1.377136230E-2	3.442840576E-2	9.921518097E0	9.921587389E0
3.700156667E-1	2.739303589E-2	7.484436035E-2	9.898915100E0	9.899235941E0
3.800096667E-1	6.137237549E-2	1.187031555E-1	9.844877472E0	9.845784349E0
3.900036667E-1	5.493576050E-2	1.442999268E-1	9.846823425E0	9.848033914E0
3.999976667E-1	8.981323242E-3	1.965412903E-1	9.885592804E0	9.887550467E0
4.099916667E-1	-3.397933960E-2	1.655557251E-1	9.863588562E0	9.865036372E0
4.199856667E-1	-5.897735596E-2	1.062789917E-1	9.737550659E0	9.738309216E0
4.299796667E-1	-7.963439941E-2	1.225950623E-1	9.881850586E0	9.882931862E0
4.399736667E-1	-5.733078003E-2	1.401086426E-1	9.949509888E0	9.950661498E0
4.499676667E-1	-2.888992310E-2	1.115180969E-1	9.684261475E0	9.684946630E0
4.599616667E-1	-9.430389404E-3	1.428030396E-1	9.923763428E0	9.924795323E0
4.699556667E-1	1.362167358E-2	1.667532349E-1	9.824220428E0	9.825644977E0
4.799496667E-1	4.206253052E-2	1.175056458E-1	9.863289185E0	9.864078790E0
4.899436667E-1	4.176315308E-2	6.316864014E-2	9.938881989E0	9.939170469E0
4.999376667E-1	1.047821045E-3	6.990463257E-2	9.810449066E0	9.810698173E0
5.099316667E-1	-2.829116821E-2	5.478607178E-2	9.836494904E0	9.836688157E0
5.199256667E-1	-5.269042969E-2	1.011895752E-1	9.897567902E0	9.898225395E0
5.299196667E-1	-4.490661621E-2	1.954934692E-1	9.928104401E0	9.930130477E0
5.399136667E-1	-2.529739380E-2	2.174977112E-1	9.747729492E0	9.750188484E0
5.499076667E-1	1.990859985E-2	1.932481384E-1	9.833950195E0	9.835868932E0
5.599016667E-1	4.400848389E-2	1.606159973E-1	9.849368134E0	9.850775953E0
5.698956667E-1	4.670288086E-2	1.302291870E-1	9.914033661E0	9.914998953E0
5.798896667E-1	8.232879639E-3	1.245410156E-1	9.818232880E0	9.819026180E0
5.898836667E-1	-4.026626587E-2	9.250762939E-2	9.832004242E0	9.832521876E0
5.998776667E-1	-1.034349060E-1	6.032455444E-2	9.890981598E0	9.891706365E0
6.098716667E-1	-8.996292114E-2	1.055305481E-1	9.789941711E0	9.790923794E0
6.198656667E-1	-4.580474854E-2	1.402583313E-1	9.884694672E0	9.885795832E0
6.298596667E-1	2.380050659E-2	1.207987976E-1	9.894574127E0	9.895340114E0
6.398536667E-1	4.236190796E-2	1.079255676E-1	9.819580078E0	9.820264526E0
6.498475417E-1	4.565505981E-2	1.407073975E-1	9.827812958E0	9.828926212E0
6.598415417E-1	1.871109009E-2	1.637594604E-1	9.918674011E0	9.920043418E0
6.698355417E-1	-4.071533203E-2	1.618135071E-1	9.817185059E0	9.818602947E0
6.798295417E-1	-6.735992432E-2	1.630110168E-1	9.834998016E0	9.836579483E0
6.898235417E-1	-6.631210327E-2	1.194515991E-1	9.875563660E0	9.876508673E0
6.998175417E-1	-4.026626587E-2	1.339714050E-1	9.867181091E0	9.868172698E0
7.098115417E-1	-6.735992432E-3	1.350192261E-1	9.815089417E0	9.816020366E0
7.198055417E-1	3.128494263E-2	1.366658020E-1	9.867181091E0	9.868177085E0
7.297995417E-1	5.598358154E-2	1.278341675E-1	9.833052063E0	9.834042333E0
7.397935417E-1	2.305206299E-2	1.395098877E-1	9.878258057E0	9.879270046E0
7.497875417E-1	-1.032852173E-2	1.669029236E-1	9.923763428E0	9.925172232E0
7.597815417E-1	-4.326004028E-2	1.582209778E-1	9.753417664E0	9.754796842E0
7.697755417E-1	-6.107299805E-2	1.306782532E-1	9.871222687E0	9.872276538E0
7.797695417E-1	-6.691085815E-2	1.128652954E-1	9.855505371E0	9.856378734E0
7.897635417E-1	-3.068618774E-2	1.076261902E-1	9.818681946E0	9.819319742E0
7.997575417E-1	2.095642090E-2	9.430389404E-2	9.904154205E0	9.904625330E0
8.097515417E-1	4.909790039E-2	1.231938171E-1	9.882898407E0	9.883788152E0
8.197455417E-1	3.382965088E-2	1.535806274E-1	9.816436615E0	9.817696230E0
8.297395417E-1	1.945953369E-3	1.615141296E-1	9.882748718E0	9.884068637E0
8.397335417E-1	-3.562591553E-2	2.065704346E-1	9.914033661E0	9.916249492E0
8.497275417E-1	-4.834945679E-2	1.580712891E-1	9.702373810E0	9.703781827E0
8.597215417E-1	-3.487747192E-2	8.921447754E-2	9.898915100E0	9.899378557E0
8.697155417E-1	-2.305206299E-2	7.529342651E-2	9.946815491E0	9.947127168E0
8.797095417E-1	-7.933502197E-3	5.912704468E-2	9.802814941E0	9.802996467E0
8.897035417E-1	-2.694396973E-3	1.023870850E-1	9.814490662E0	9.815025080E0
8.996975417E-1	-4.191284180E-3	1.329235840E-1	9.904154205E0	9.905047035E0
9.096915417E-1	1.945953369E-3	1.484912109E-1	9.874066772E0	9.875183444E0
9.196855417E-1	-9.265731812E-2	2.207908630E-1	9.851613464E0	9.854522913E0
9.296795417E-1	-1.889071655E-1	3.125500488E-1	9.844278717E0	9.851050548E0
9.396735417E-1	8.652008057E-2	-3.143463135E-3	9.569450226E0	9.569841860E0
9.496675417E-1	-1.889071655E-1	1.579216003E-1	1.009336075E1	1.009636352E1
9.596615417E-1	-7.783813477E-3	4.640350342E-2	1.018062927E1	1.018073800E1
9.696555417E-1	-2.127076721E-1	-1.856140137E-2	9.007069702E0	9.009600085E0
9.796495417E-1	2.152523804E-1	2.191442871E-1	1.055829391E1	1.056276139E1
9.896435417E-1	1.176553345E-1	3.847000122E-2	9.996362457E0	9.997128843E0
9.996375417E-1	4.417314148E-1	1.263372803E-1	9.251810760E0	9.263211651E0
1.009631542E0	2.909948730E-1	2.868035889E-1	1.041429337E1	1.042230496E1
1.019625542E0	8.397537231E-2	4.742138672E-1	9.814191284E0	9.826000265E0
1.029619542E0	-1.796264648E-3	-1.347198486E-3	9.924960938E0	9.924961191E0
1.039613542E0	-3.270698547E-1	1.080752563E-1	9.476493530E0	9.482751952E0
1.049607542E0	-4.592449951E-1	9.250762939E-2	9.977052612E0	9.988044977E0
1.059601542E0	-3.806584167E-1	-1.267863464E-1	9.894873505E0	9.903004457E0
1.069595542E0	-2.733316040E-1	5.673202515E-2	9.655970306E0	9.660004723E0
1.079589542E0	-3.323089600E-2	2.294728088E-1	9.755962372E0	9.758717327E0
1.089583542E0	1.571731567E-1	1.959425354E-1	9.976603546E0	9.979765288E0
1.099577542E0	2.872526550E-1	2.712359619E-1	1.001507355E1	1.002286292E1
1.109571542E0	2.616558838E-1	2.868035889E-1	9.857750702E0	9.865392491E0
1.119565542E0	2.092648315E-1	-1.088237000E-1	9.913434906E0	9.916240518E0
